Azuay;Chordeleg;Chordeleg
Azuay;Chordeleg;La Unión - Chordeleg
Azuay;Chordeleg;Luis Galarza Orellana
Azuay;Chordeleg;Principal
Azuay;Chordeleg;San Martín de Puzhio
Azuay;Cuenca;Baños - Cuenca
Azuay;Cuenca;Bellavista - Cuenca
Azuay;Cuenca;Cañaribamba
Azuay;Cuenca;Chaucha
Azuay;Cuenca;Checa - Cuenca
Azuay;Cuenca;Chiquintad
Azuay;Cuenca;Cumbe - Cuenca
Azuay;Cuenca;El Batán
Azuay;Cuenca;El Sagrario - Cuenca
Azuay;Cuenca;El Vecino
Azuay;Cuenca;Gil Ramírez Dávalos
Azuay;Cuenca;Hermano Miguel
Azuay;Cuenca;Huaynacápac
Azuay;Cuenca;Llacao
Azuay;Cuenca;Machángara
Azuay;Cuenca;Molleturo
Azuay;Cuenca;Monay
Azuay;Cuenca;Nulti
Azuay;Cuenca;Octavio Cordero
Azuay;Cuenca;Paccha
Azuay;Cuenca;Quingeo
Azuay;Cuenca;Ricaurte - Cuenca
Azuay;Cuenca;San Blas - Cuenca
Azuay;Cuenca;San Joaquín
Azuay;Cuenca;San Sebastián - Cuenca
Azuay;Cuenca;Santa Ana - Cuenca
Azuay;Cuenca;Sayausí
Azuay;Cuenca;Sidcay
Azuay;Cuenca;Sinincay
Azuay;Cuenca;Sucre - Cuenca
Azuay;Cuenca;Tarqui - Cuenca
Azuay;Cuenca;Totoracocha
Azuay;Cuenca;Turi
Azuay;Cuenca;Valle - Cuenca
Azuay;Cuenca;Victoria del Portete
Azuay;Cuenca;Yanuncay
Azuay;El Pan;El Pan
Azuay;El Pan;San Vicente - El Pan
Azuay;Girón;Asunción - Girón
Azuay;Girón;San Gerardo
Azuay;Guachapala;Guachapala
Azuay;Gualaceo;Daniel Córdova
Azuay;Gualaceo;Gualaceo
Azuay;Gualaceo;Jadán
Azuay;Gualaceo;Luis Cordero
Azuay;Gualaceo;Mariano Moreno
Azuay;Gualaceo;Remigio Crespo Toral
Azuay;Gualaceo;San Juan - Gualaceo
Azuay;Gualaceo;Simón Bolívar - Gualaceo
Azuay;Gualaceo;Zhidmad
Azuay;Nabón;Cochapata
Azuay;Nabón;El Progreso - Nabón
Azuay;Nabón;Las Nieves
Azuay;Nabón;Nabón
Azuay;Oña;San Felipe de Oña
Azuay;Oña;Susudel
Azuay;Paute;Bulán
Azuay;Paute;Chicán
Azuay;Paute;Dugdug
Azuay;Paute;El Cabo
Azuay;Paute;Guarainag
Azuay;Paute;Paute
Azuay;Paute;San Cristóbal - Paute
Azuay;Paute;Tomebamba
Azuay;Camilo Ponce Enríquez;Pijilí
Azuay;Camilo Ponce Enríquez;Camilo Ponce Enríquez
Azuay;Pucará;Pucará
Azuay;Pucará;San Rafael de Sharug
Azuay;Sígsig;Cuchil
Azuay;Sígsig;Guel
Azuay;Sígsig;Jima
Azuay;Sígsig;Ludo
Azuay;Sígsig;Sígsig
Azuay;Sígsig;San Bartolomé
Azuay;Sígsig;San José de Raranga
Azuay;San Fernando;Chumblín
Azuay;San Fernando;San Fernando - San Fernando
Azuay;Santa Isabel;Abdón Calderón - Santa Isabel
Azuay;Santa Isabel;Santa Isabel
Azuay;Santa Isabel;Shaglli
Azuay;Sevilla de Oro;Amaluza - Sevilla de Oro
Azuay;Sevilla de Oro;Palmas
Azuay;Sevilla de Oro;Sevilla de Oro
Bolívar;Caluma;Caluma
Bolívar;Chillanes;Chillanes
Bolívar;Chillanes;San José del Tambo
Bolívar;Chimbo;Asunción - Chimbo
Bolívar;Chimbo;Magdalena (Chapacoto)
Bolívar;Chimbo;San José de Chimbo
Bolívar;Chimbo;San Sebastián - Chimbo
Bolívar;Chimbo;Telimbela
Bolívar;Echéandia;Echeandía
Bolívar;Guaranda;Ángel Polibio Chávez
Bolívar;Guaranda;Facundo Vela
Bolívar;Guaranda;Guanujo
Bolívar;Guaranda;Ignacio Veintimilla
Bolívar;Guaranda;Julio E. Moreno
Bolívar;Guaranda;Salinas - Guaranda
Bolívar;Guaranda;San Lorenzo - Guaranda
Bolívar;Guaranda;San Luis de Pambil
Bolívar;Guaranda;San Simón
Bolívar;Guaranda;Santa Fe
Bolívar;Guaranda;Simiátug
Bolívar;Las Naves;Las Mercedes
Bolívar;Las Naves;Las Naves
Bolívar;San Miguel;Balsapamba
Bolívar;San Miguel;Bilován
Bolívar;San Miguel;Régulo de Mora
Bolívar;San Miguel;San Miguel - San Miguel
Bolívar;San Miguel;San Pablo de Atenas
Bolívar;San Miguel;San Vicente - San Miguel
Bolívar;San Miguel;Santiago - San Miguel
Cañar;Azogues;Aurelio Bayas
Cañar;Azogues;Azogues
Cañar;Azogues;Borrero
