Esmeraldas;San Lorenzo
Esmeraldas;Eloy Alfaro
Esmeraldas;Rioverde
Esmeraldas;Esmeraldas
Esmeraldas;Atacames
Esmeraldas;Quinindé
Esmeraldas;Muisne
Carchi;Tulcán
Carchi;Mira
Carchi;Espejo
Carchi;Montúfar
Carchi;San Pedro de Huaca
Carchi;Bolívar - Carchi
Imbabura;Ibarra
Imbabura;Urcuquí
Imbabura;Cotacachi
Imbabura;Antonio Ante
Imbabura;Otavalo
Imbabura;Pimampiro
Imbabura;Mira
Sucumbíos;Sucumbíos
Sucumbíos;Gonzalo Pizarro
Sucumbíos;Cascales
Sucumbíos;Lago Agrio
Sucumbíos;Putumayo
Sucumbíos;Cuyabeno
Sucumbíos;Shushufindi
Manabí;Pedernales
Manabí;Chone
Manabí;Flavio Alfaro
Manabí;El Carmen
Manabí;Jama
Manabí;San Vicente
Manabí;Sucre
Manabí;Tosagua
Manabí;Rocafuerte
Manabí;Junín
Manabí;Bolívar - Manabí
Manabí;Pichincha
Manabí;Portoviejo
Manabí;Jaramijó
Manabí;Manta
Manabí;Montecristi
Manabí;Santa Ana
Manabí;Jipijapa
Manabí;24 de Mayo
Manabí;Olmedo - Manabí
Manabí;Puerto López
Manabí;Paján
Santo Domingo de los Tsáchilas;La Concordia
Santo Domingo de los Tsáchilas;Santo Domingo de los Tsáchilas
Pichincha;Puerto Quito
Pichincha;Quito
Pichincha;Pedro Vicente Maldonado
Pichincha;San Miguel de los Bancos
Pichincha;Distrito Metropolitano de Quito
Pichincha;Pedro Moncayo
Pichincha;Cayambe
Pichincha;Rumiñahui
Pichincha;Mejía
Napo;El Chaco
Napo;Quijos
Napo;Archidona
Napo;Tena
Napo;Carlos Julio Arosemena Tola
Orellana;Orellana
Orellana;Loreto
Orellana;Francisco de Orellana
Orellana;La Joya de los Sachas
Orellana;Aguarico
Pastaza;Mera
Pastaza;Santa Clara
Pastaza;Arajuno
Pastaza;Pastaza
Los Ríos;Buena Fe
Los Ríos;Valencia
Los Ríos;Quevedo
Los Ríos;Quinsaloma
Los Ríos;Palenque
Los Ríos;Mocache
Los Ríos;Ventanas
Los Ríos;Vinces
Los Ríos;Baba
Los Ríos;Puebloviejo
Los Ríos;Urdaneta
Los Ríos;Babahoyo
Los Ríos;Montalvo
Cotopaxi;Sigchos
Cotopaxi;La Maná
Cotopaxi;Latacunga
Cotopaxi;Saquisilí
Cotopaxi;Pujilí
Cotopaxi;Pangua
Cotopaxi;Salcedo
Bolívar;Echéandia
Bolívar;Guaranda
Bolívar;Las Naves
Bolívar;Echeandía
Bolívar;Caluma
Bolívar;Chimbo
Bolívar;San Miguel
Bolívar;Chillanes
Tungurahua;Ambato
Tungurahua;Píllaro
Tungurahua;Patate
Tungurahua;Baños de Agua Santa
Tungurahua;Pelileo
Tungurahua;Cevallos
Tungurahua;Tisaleo
Tungurahua;Mocha
Tungurahua;Quero
Chimborazo;Guano
Chimborazo;Penipe
Chimborazo;Riobamba
Chimborazo;Colta
Chimborazo;Chambo
Chimborazo;Pallatanga
Chimborazo;Guamote
Chimborazo;Alausí
Chimborazo;Cumandá
Chimborazo;Chunchi
Morona Santiago;Palora
Morona Santiago;Pablo Sexto
Morona Santiago;Huamboya
Morona Santiago;Morona
Morona Santiago;Taisha
Morona Santiago;Sucúa
Morona Santiago;Santiago
Morona Santiago;Logroño
Morona Santiago;Tiwintza
Morona Santiago;Limón Indanza
Morona Santiago;San Juan Bosco
Morona Santiago;Gualaquiza
Guayas;El Empalme
Guayas;Balzar
Guayas;Colimes
Guayas;Palestina
Guayas;Santa Lucía
Guayas;Pedro Carbo
Guayas;Isidro Ayora
Guayas;Lomas de Sargentillo
Guayas;Nobol
Guayas;Daule
Guayas;Salitre
Guayas;Samborondón
Guayas;Yaguachi
Guayas;Alfredo Baquerizo Moreno (Juján)
Guayas;Milagro
Guayas;Simón Bolívar
Guayas;Naranjito
Guayas;Antonio Elizalde
Guayas;Marcelino Maridueña
Guayas;El Triunfo
Guayas;Durán
Guayas;Guayaquil
Guayas;Playas
Guayas;Naranjal
Guayas;Balao
Santa Elena;Santa Elena
Santa Elena;La Libertad
Santa Elena;Salinas
Cañar;La Troncal
Cañar;Cañar
Cañar;Suscal
Cañar;El Tambo
Cañar;Azogues
Cañar;Biblián
Cañar;Déleg
Azuay;Sevilla de Oro
Azuay;Paute
Azuay;Guachapala
Azuay;El Pan
Azuay;Gualaceo
Azuay;Chordeleg
Azuay;Sígsig
Azuay;Cuenca
Azuay;Santa Isabel
Azuay;Pucará
Azuay;Camilo Ponce Enríquez
Azuay;San Fernando
Azuay;Girón
Azuay;Nabón
Azuay;Oña
El Oro;El Guabo
El Oro;Machala
El Oro;Pasaje
El Oro;Chilla
El Oro;Zaruma
El Oro;Santa Rosa
El Oro;Atahualpa
El Oro;Arenillas
El Oro;Huaquillas
El Oro;Las Lajas
El Oro;Marcabelí
El Oro;Balsas
El Oro;Piñas
El Oro;Portovelo
Loja;Saraguro
Loja;Loja
Loja;Chaguarpamba
Loja;Olmedo - Loja
Loja;Catamayo
Loja;Paltas
Loja;Puyango
Loja;Pindal
Loja;Celica
Loja;Zapotillo
Loja;Macará
Loja;Sozoranga
Loja;Calvas
Loja;Gonzanamá
Loja;Quilanga
Loja;Espíndola
Zamora Chinchipe;Yacuambí
Zamora Chinchipe;Yantzaza
Zamora Chinchipe;El Pangui
Zamora Chinchipe;Zamora
Zamora Chinchipe;Centinela del Cóndor
Zamora Chinchipe;Paquisha
Zamora Chinchipe;Nangaritza
Zamora Chinchipe;Palanda
Zamora Chinchipe;Chinchipe
Galápagos;Isabela
Galápagos;San Cristóbal
Galápagos;Santa Cruz
